,question,answer
54,[통합계정] 비밀번호를 잊었을 때는 어떻게 해야 하나요?,홈페이지 및 앱 통합계정 로그인 화면 하단에 비밀번호 찾기 링크를 통하여 재설정 하실 수 있습니다. 
55,[통합계정] 내 이메일 혹은 비밀번호를 바꿀 수 있나요?,"변경은 홈페이지를 통해 가능하며, 로그인 후 회원정보 페이지 메뉴에서 보안 >> 이메일 변경을 통해 이메일을, 보안 >> 비밀번호 변경 을 통해 비밀번호를 변경 하실 수 있습니다.  안내에 따라 인증 절차를 완료해주세요. "
56,[통합계정] 내 계정에서 차량 추가 등록 또는 삭제는 어떻게 하나요?,홈페이지에서 로그인 후 오른쪽에 내 계정 아이콘을 클릭하시면  차량 관리 메뉴에 접속하실 수 있습니다. 안내에 따라 차량을 등록 또는 삭제 하실 수 있습니다. 
57,[통합계정] 온스타 서비스를 사용하고 싶습니다. 통합계정이 있어야 하나요?,통합계정에 가입해야 온스타 계정을 생성할 수 있습니다.  통합 계정은 홈페이지 회원가입을 통해 생성 가능합니다. 
58,[통합계정] 가입한 이메일을 잊었습니다. 어떻게 찾을 수 있나요?,"홈페이지 내 이메일 계정 찾기 링크를 통해 본인 인증을 완료 하시면 기 등록된 이메일을 확인 하실 수 있습니다.  

(https://www.chevrolet.co.kr/member/id-check.gm ) "
59,[통합계정] 통합계정 탈퇴 (혹은 통합계정 회원 삭제)는 어떻게 하나요?,통합계정 탈퇴 (혹은 통합계정 회원 삭제)는 홈페이지를 통해 요청할 수 있습니다. 고객 아이디로 홈페이지에 로그인한 후 화면 오른편 상단의 계정을 클릭하시면 통합계정 탈퇴 메뉴를 확인하실 수 있습니다. 완료되면 고객님의 이메일을 통해 알림을 보내드립니다. 
60,[통합계정]이전 통합 계정 전환 캠페인에 참여하지 않았습니다. 어떻게 로그인 해야 하나요?,통합계정 전환 캠페인에 참여하지 않으셨으면 이전 계정 정보는 모두 삭제 됩니다. 새 이메일로 회원 가입을 진행 해 주세요. 차고에 해당 차량을 등록하시면 이전 정비 이력 및 구매 이력을 확인 하실 수 있습니다. 
61,[통합계정] 회원 탈퇴 후 재가입시 동일한 이메일로 가입 가능한가요?,회원 탈퇴(또는 계정 삭제) 후 동일한 이메일로 재가입 가능합니다. 
62,[홈페이지 이용] 홈페이지 회원가입 시 본인 인증 방법에 대해서 알고 싶습니다.,"고객님의 소중한 개인정보 보호를 위해 NICE신용평가정보의 안심체크 서비스와 아이핀 인증을 통해 본인 인증을 할 수 있습니다.  

안심체크 서비스는 NICE신용평가가 보유한 고객정보(생년월일, 성별, 성명, 유선전화 또는 주소)로 본인인증을 제공합니다.  

또한, 최초 1회 안심패스를 설정하시면, 추후 간편한 절차로 안전하게 본인 인증을 할 수 있습니다. NICE신용평가정보에서 제공하는 개인정보와 고객님께서 입력하신 정보가 일치하지 않는 경우, 안심체크 서비스로 본인 인증에 실패하게 되며 이때는 아이핀 인증으로만 본인인증이 가능합니다. "
63,[홈페이지 이용] 안심체크로 본인 인증에 실패하였습니다. 본인 인증을 할 수 있는 다른 방법은 무엇인가요?,"안심체크로 본인의 생년월일, 성별, 성명 정보로 인증이 되지 않을 경우 먼저 안심체크의 인증 실패 안내에서 실명확인 재시도를 하시고 실명 정보를 등록하시면 됩니다. 실명확인에 필요한 전화번호, 주소 정보가 확인이 안되면 아이핀 인증 버튼을 선택하여 아이핀을 신규 발급받으시고 기존에 아이핀을 발급받은 고객님의 경우에는 보유하고 계신 아이핀으로 실명확인을 하시면 됩니다. "
64,[홈페이지 이용] 고객센터 운영시간은 어떻게 되나요?,"평일 고객센터 운영시간은 09:00~18:00 입니다.  

일요일을 제외한 토요일, 공휴일은 09:00~17:00 입니다. (12:00~13:00 상담 불가) 일요일 및 설날(음력)과 추석 당일은 휴무입니다.  

쉐보레 홈페이지 1:1 게시판 문의는 365일 24시간 언제든지 가능하며, 답변은 08:00~24:00에 이루어집니다.(설날과 추석 당일은 휴무입니다.)  

긴급출동은 연중무휴 24시간 상담 가능합니다. "
65,[장애인 차량] 현재 판매 중인 장애인 차량은 무엇입니까?,보통 장애인 차량은 각 제조사별 중형 세단(LPG)을 장애인 차량으로 판매합니다. 현재 쉐보레에서 판매중인 장애인용 차량은 없습니다.
66,[장애인 차량] 장애인용 가격은 면세 가격인가요?,"현재 쉐보레에서 제공되는 장애인용 가격표는 없습니다.

대상이 되신다면 카매니저를 통해 면세가격을 확인하실 수 있습니다."
67,[장애인 차량] 장애인 중 면세 가능한 등급은 어떻게 되나요?,"면세로 구입할 수 있는 등급은 일반장애인1~3급, 국가유공장애인1~7급, 고엽제 후유증 환자, 5.18 민주화 운동부상자 1~14급 입니다."
68,[장애인 차량] 몇대까지 장애인 차량 구입 가능한지요? (한 가족에 장애인 2인일 경우 등),"일반 승용차의 경우 1인 기준 1대 구입 가능하며, 가족중 장애인 2명일 경우, 각자의 명의로 차량 구입 가능합니다."
69,[장애인 차량] LPG 구조변경 방법을 알고싶습니다.,"가솔린 차량 구매후 LPG 구조변경을 원하는 경우 장애가 있는 당사자 및 가족(직계존비속)이 신청해야 하며, 구조변경 승인 신청은 시,군,구청 교통행정과에 자동차 등록증, 장애인 수첩, 주민등록등본, 구조변경신청서, 제원대비표, 연료변경 전,후도면을 제출 승인 받습니다.
  자세한 내용은 자동차관리법 제34조 / 자동차관리법시행령 제8조를 참조하여 주시기 바랍니다.
→ 고객께서 구조변경한 내용에 대해서는 회사에서 보증 책임지지 않습니다."
70,[장애인 차량] 장애인과 공동명의 구입시 가능 조건을 알고싶습니다.,"주민등록표상 세대를 함께하는 배우자, 직계존비속, 형제 자매의 경우, 직계비속의 배우자와 공동명의로 구입 가능합니다.

단, 5년 이상 보유를 해야 합니다. 만약 5년 이전에 명의 변경시에는 동일 조건(면세 해당 고객)의 고객에게 양도를 해야 합니다.

이를 위반시에는 추징대상이 될 수 있습니다."
71,[장애인 차량] 장애인 사망시 차량 승계 방법을 알고싶습니다.,"LPG 전용일 경우에는 가족이 승계할 수는 없으며, 장애인이나 국가유공자에게 판매하는 수밖에 없습니다.

LPG 전용은 팔아야 하는데 돌아가신 분이 차를 팔 수는 없으므로 상속이전을 먼저 해야 합니다.

LPG 겸용일 경우에는 장애인 및 국가유공자에게 판매하거나, LPG를 탈착하면 가족이 승계할 수 있습니다.

장애인 및 국가유공자가 1년 안에 사망하게 되면 어차피 지방세(취득세, 등록세, 자동차세)를 내야 합니다.

하지만 개별소비세는 매매를 할 경우 타신만큼의 면세금액을 환불하셔야 합니다.

예를 들어, 1년을 사용했다면 4년치를 환불하면 됩니다. 개별소비세를 면세받는 장애인(1~3급) 및 국가유공자(1~7급까지)에게 판매하면 환불을 안하셔도 됩니다."
72,[장애인 차량] 장애인 구입 혜택은 어떻게 되나요?,"장애인 차량 구입시 등급에 따라 세금 혜택이 있습니다.

- 개별소비세 : 면세 (국세)
→ 일반장애 1~3급, 국가유공자 1~7급, 고엽제 후유증 환자(고도,중도,경도(1~3급)), 5.18민주화운동 부상자 1~14급

- 지방세 (2,000cc 이하) : 면세(통합취득세, 자동차세)
→ 일반장애 1~3급, 시각장애 1~4급, 국가유공자 1~7급, 고엽제 후유증 환자(고도,중도,경도(1~3급)), 5.18민주화운동 부상자 1~14급

- 지방세 (2000cc 초과) : 과세(통합취득세, 자동차세)

- 채권매입 : 면제
→ 국가유공자 1~7급, 고엽제 후유증 환자(고도,중도,경도(1~3급)), 5.18민주화운동 부상자 1~14급, 장애인복지법에 의해 장애인으로 등록된 자가 본인 명의 또는 주민등록상 거소를 같이 하는 보호자와 공동명의로 구매하는 차량 1대

※ 보다 자세한 사항은 구매정보 → 구매가이드 → 장애인차량 안내를 참조하여 주시기 바랍니다."
73,[장애인 차량] 장애인 차량은 모두 뒤 트렁크에 가스통이 있나요?,"네, 모두 있습니다."
